"id";"bwd_profile_id";"rule_id";"rule_name";"description";"state";"str_regular";"param_value";"action_type";"check_type";"error_message";"create_time";"update_time"
1;default;"1";N 代密碼不可重複;;true;;"5";"0";;N 代密碼不可重複;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
3;default;"3";密碼最長有效期 (N分鐘);;true;;"129600";"1";;密碼最長有效期 (N分鐘);2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
4;default;"4";密碼錯誤 N 次鎖定;;true;;"3";"1";;密碼錯誤 N 次鎖定;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
5;default;"5";N 分鐘後自動解鎖;;true;;"15";"1";;N 分鐘後自動解鎖;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
12;default;"12";密碼最短有效期 (N分鐘);;true;;"1440";"0";;密碼最短有效期 (N分鐘);2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
15;default;"15";密碼最少包含 N 個大寫字母;;true;;"1";"0";;密碼最少包含 N 個大寫字母;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
17;default;"17";密碼最少包含 N 個小寫字母;;true;;"1";"0";;密碼最少包含 N 個小寫字母;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
27;default;"27";密碼最少包含 N 個符號;;true;;"1";"0";;密碼最少包含 N 個符號;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
29;default;"29";密碼最少長度;;true;;"12";"0";;密碼最少長度;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
30;default;"30";密碼最大長度;;true;;"99";"0";;密碼最大長度;2024-12-05 00:00:00.000;2024-12-05 00:00:00.000
