"id";"left_tbl";"left_id";"right_tbl";"right_id";"left_code";"right_code";"state";"data_role_1";"data_role_2";"data_auth";"create_time"
1;User;2;Role;7;modadwap;default_role;"1";;;;2025-01-17 03:01:29.023
2;User;2;Role;39158;modadwap;issuer_org_apuser;"1";;;;2025-01-17 03:01:29.033
331351;User;1;Role;7;admin;default_role;"1";;;;2025-01-17 03:01:29.023
331352;User;1;Role;38951;admin;issuer_admin;"1";;;;2025-01-17 03:01:29.033
331354;User;1;Role;39151;admin;issuer_org_manager;"1";;;;2025-01-17 03:01:29.045
331355;User;1;Role;39152;admin;issuer_org_user;"1";;;;2025-01-17 03:01:29.049
331356;User;1;Role;39158;admin;issuer_org_apuser;"1";;;;2025-01-17 03:01:29.055
90002;Role;7;Res;111;default_role;ams311w_upPwd;"1";"";"";"";2024-09-24 06:27:09.557
90001;Role;7;Res;110;default_role;ams311w_PrsonInfo;"1";"";"";"";2024-09-24 06:27:09.557
472276;Role;38951;Res;201;issuer_admin;vc_fields_basic;"1";;;;2025-02-24 12:19:15.300
472277;Role;38951;Res;202;issuer_admin;vc_fields_normal;"1";;;;2025-02-24 12:19:15.301
472278;Role;38951;Res;216;issuer_admin;vc_fields_regex;"1";;;;2025-02-24 12:19:15.302
472279;Role;38951;Res;204;issuer_admin;vcSchema_createVC;"1";;;;2025-02-24 12:19:15.303
472280;Role;38951;Res;205;issuer_admin;vcSchema_removeVC;"1";;;;2025-02-24 12:19:15.303
472281;Role;38951;Res;206;issuer_admin;vcSchema_clearData;"1";;;;2025-02-24 12:19:15.304
472282;Role;38951;Res;152;issuer_admin;issuer_DIDregister;"1";;;;2025-02-24 12:19:15.305
472283;Role;38951;Res;28;issuer_admin;ams311w_s;"1";;;;2025-02-24 12:19:15.307
472284;Role;38951;Res;27;issuer_admin;ams311w_c;"1";;;;2025-02-24 12:19:15.308
472285;Role;38951;Res;73;issuer_admin;ams311w_upState;"1";;;;2025-02-24 12:19:15.309
472286;Role;38951;Res;75;issuer_admin;ams311w_userRoles;"1";;;;2025-02-24 12:19:15.310
472287;Role;38951;Res;74;issuer_admin;ams311w_e;"1";;;;2025-02-24 12:19:15.310
472288;Role;38951;Res;70;issuer_admin;ams311w_conferRole;"1";;;;2025-02-24 12:19:15.311
472289;Role;38951;Res;72;issuer_admin;ams311w_resetBwd;"1";;;;2025-02-24 12:19:15.312
472290;Role;38951;Res;217;issuer_admin;ams311w_d;"1";;;;2025-02-24 12:19:15.313
