"id";"parent_id";"child_id";"parent_code";"child_code";"create_time";"orderval"
1;;2;"";Top_issuer;2024-09-04 09:52:43.000;"300"
5;2;152;"";issuer_DIDregister;2024-09-04 09:52:43.000;"900"
6;2;153;"";issuer_OrgLogo;2025-06-09 03:47:12.007;"1000"
51;;57;"";Top_account;2024-07-26 03:47:12.007;"800"
52;57;58;Top_account;account;2024-07-26 03:47:12.007;"1000"
53;58;27;account;ams311w_c;2024-07-26 03:47:12.007;"1200"
54;58;28;account;ams311w_s;2024-07-26 03:47:12.007;"1100"
55;58;70;account;ams311w_conferRole;2024-07-26 03:47:12.007;"1600"
56;58;75;account;ams311w_userRoles;2024-07-26 03:47:12.007;"1400"
57;58;72;account;ams311w_resetBwd;2024-07-26 03:47:12.007;"1700"
58;58;73;account;ams311w_upState;2024-07-26 03:47:12.007;"1300"
59;58;74;account;ams311w_e;2024-07-26 03:47:12.007;"1500"
60;57;59;Top_account;role;2024-07-26 03:47:12.007;"2000"
61;59;29;role;ams321w_c;2024-07-26 03:47:12.007;"1200"
62;59;30;role;ams321w_s;2024-07-26 03:47:12.007;"1100"
63;59;31;role;ams321w_e;2024-07-26 03:47:12.007;"1500"
64;59;32;role;ams321w_d;2024-07-26 03:47:12.007;"1700"
65;59;67;role;ams321w_upState;2024-07-26 03:47:12.007;"1300"
66;59;68;role;ams321w_conferRes;2024-07-26 03:47:12.007;"1600"
67;59;69;role;ams321w_hasRes;2024-07-26 03:47:12.007;"1400"
68;57;60;Top_account;func;2024-07-26 03:47:12.007;"1600"
69;60;33;func;ams331w_s;2024-07-26 03:47:12.007;"1400"
70;60;66;func;ams331w_upState;2024-07-26 03:47:12.007;"1600"
71;57;61;Top_account;accessToken;2024-07-26 03:47:12.007;"4000"
74;57;62;Top_account;accountChange;2024-07-26 03:47:12.007;"1500"
75;62;36;accountChange;ams312w_s;2024-07-26 03:47:12.007;"1400"
76;57;63;Top_account;roleChange;2024-07-26 03:47:12.007;"6000"
77;63;37;roleChange;ams322w_s;2024-07-26 03:47:12.007;"1100"
78;57;64;Top_account;funcChange;2024-07-26 03:47:12.007;"7000"
79;64;38;funcChange;ams332w_s;2024-07-26 03:47:12.007;"1100"
80;57;65;Top_account;trace;2024-07-26 03:47:12.007;"8000"
81;65;39;trace;ams341w_s;2024-07-26 03:47:12.007;"1100"
90;57;100;Top_account;org;2024-09-24 06:27:09.557;"3000"
91;100;101;org;org_a;2024-09-24 06:27:09.557;"1200"
93;100;103;org;org_c;2024-09-24 06:27:09.557;"1300"
94;100;104;org;org_d;2024-09-24 06:27:09.557;"1400"
95;100;105;org;org_s;2024-09-24 06:27:09.557;"1100"
101;;207;"";verifier;2024-07-26 03:47:12.007;"1200"
102;207;208;verifier;verifier_CreateVP;2024-07-26 03:47:12.007;"1200"
104;;200;;vc_fields;2024-07-26 03:47:12.007;"1400"
105;200;201;vc_fields;vc_fields_basic;2024-07-26 03:47:12.007;"1100"
106;200;202;vc_fields;vc_fields_normal;2024-07-26 03:47:12.007;"1200"
108;;203;;vcSchema;2024-07-26 03:47:12.007;"200"
109;203;204;vcSchema;vcSchema_createVC;2024-07-26 03:47:12.007;"1100"
110;203;205;vcSchema;vcSchema_removeVC;2024-07-26 03:47:12.007;"1200"
111;203;206;vcSchema;vcSchema_clearData;2024-07-26 03:47:12.007;"1300"
112;;214;"";api_issuer;2024-09-04 09:52:43.000;"900"
114;213;215;Top_api;api_verifier;2024-09-04 09:52:43.000;"900"
115;200;216;vc_fields;vc_fields_regex;2024-07-26 03:47:12.007;"1300"
116;58;217;account;ams311w_d;2024-07-26 03:47:12.007;"1800"
121;209;222;issuer;vc_createVC_Ext;2025-02-06 03:47:12.007;"1700"
122;214;223;api_issuer;vc_createVC_ExtApi;2024-09-04 09:52:43.000;"1700"
123;209;224;issuer;vc_removeVC_Ext;2025-02-06 03:47:12.007;"1800"
124;214;225;api_issuer;vc_removeVC_ExtApi;2024-09-04 09:52:43.000;"1800"
129;;230;"";api_issuer_manager;2024-09-04 09:52:43.000;"950"
130;230;201;api_issuer_manager;vc_fields_basic;2024-09-04 09:52:43.000;"160"
131;230;202;api_issuer_manager;vc_fields_normal;2024-09-04 09:52:43.000;"170"
132;230;216;api_issuer_manager;vc_fields_regex;2024-09-04 09:52:43.000;"180"
133;230;204;api_issuer_manager;vcSchema_createVC;2024-09-04 09:52:43.000;"190"
134;230;205;api_issuer_manager;vcSchema_removeVC;2024-09-04 09:52:43.000;"200"
135;230;206;api_issuer_manager;vcSchema_clearData;2024-09-04 09:52:43.000;"210"
